,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
322,323,2,2,2,2,5,5,14,1,1,No,Straight / Heterosexual,4,1,3.0,138203
323,324,2,2,1,4,5,1,24,3,1,No,Straight / Heterosexual,2,1,4.0,74651
325,326,2,2,1,1,4,8,14,2,1,No,Straight / Heterosexual,1,1,0.0,75384
330,331,2,2,1,5,3,3,3,2,1,No,Straight / Heterosexual,4,1,1.0,74180
331,332,2,2,1,1,3,4,1,5,1,No,Bisexual,1,1,1.0,130000
337,338,2,2,2,1,2,4,1,5,1,No,Straight / Heterosexual,1,1,0.0,80000
340,341,2,2,2,1,4,4,5,3,1,No,Straight / Heterosexual,4,1,4.0,53322
342,343,2,2,1,1,5,3,25,1,1,No,Straight / Heterosexual,4,1,4.0,56897
346,347,2,2,2,4,2,8,4,5,1,No,Straight / Heterosexual,2,1,0.0,44790
348,349,2,2,1,1,2,1,1,2,1,No,Straight / Heterosexual,1,1,1.0,75000
351,352,2,2,2,1,2,4,24,2,1,No,Straight / Heterosexual,2,1,0.0,43512
356,357,2,2,1,2,1,8,1,2,1,No,Straight / Heterosexual,1,1,1.0,120000
359,360,2,2,2,6,5,5,1,3,1,No,Straight / Heterosexual,3,1,4.0,175000
360,361,2,2,2,1,3,5,26,2,1,No,Straight / Heterosexual,10,1,1.0,75684
361,362,2,2,2,1,4,1,1,2,1,No,Bisexual,1,1,2.0,150000
362,363,2,2,2,5,3,8,16,2,1,No,Straight / Heterosexual,5,3,1.0,60948
363,364,2,2,1,5,3,7,1,1,1,No,Straight / Heterosexual,1,1,2.0,120000
364,365,2,2,1,2,5,5,1,1,1,No,Straight / Heterosexual,13,1,3.0,210000
367,368,2,2,2,1,2,3,1,2,1,No,Straight / Heterosexual,1,1,0.0,109000
368,369,2,2,2,1,2,8,1,5,1,No,Prefer not to say,5,1,0.0,70000
381,382,1,2,1,1,4,7,1,4,2,No,Straight / Heterosexual,1,1,3.0,96000
383,384,2,2,1,1,3,2,14,2,1,No,Gay or Lesbian,1,1,1.0,50256
385,386,2,2,1,1,5,7,1,1,1,No,Straight / Heterosexual,3,1,4.0,160000
387,388,2,2,2,1,3,3,1,2,1,No,Straight / Heterosexual,1,1,1.0,124000
388,389,2,2,2,2,4,1,14,2,1,No,Straight / Heterosexual,1,1,2.0,125639
390,391,2,2,2,2,2,5,12,2,1,No,Straight / Heterosexual,2,1,1.0,44790
391,392,2,2,1,1,5,1,1,1,1,No,Straight / Heterosexual,1,1,3.0,205000
392,393,2,2,1,4,5,4,27,1,1,No,Straight / Heterosexual,4,1,3.0,53748
395,396,2,3,1,2,1,1,5,5,1,No,Straight / Heterosexual,4,1,0.0,69318
400,401,1,2,2,2,2,7,12,2,1,No,Straight / Heterosexual,4,1,1.0,52255
404,405,2,2,3,1,2,4,1,5,4,No,Gay or Lesbian,1,2,0.0,76000
405,406,2,2,1,1,4,1,1,2,1,No,Straight / Heterosexual,3,1,1.0,115000
410,411,2,2,2,2,2,4,28,2,1,No,Straight / Heterosexual,4,1,0.0,103248
411,412,2,2,2,7,1,1,4,5,1,No,Straight / Heterosexual,2,1,0.0,40956
431,432,2,2,2,5,2,9,15,1,1,No,Straight / Heterosexual,2,1,1.0,31993
432,433,2,2,2,1,2,3,1,2,2,No,Prefer not to say,1,1,1.0,96300
435,436,2,2,2,1,2,8,4,2,1,No,Straight / Heterosexual,2,1,0.0,57588
439,440,2,2,2,1,4,5,14,2,1,No,Straight / Heterosexual,1,1,2.0,126142
441,442,2,2,1,1,3,5,1,2,4,Yes,Bisexual;Queer,1,1,1.0,238257
443,444,2,2,2,6,3,9,1,2,1,No,Straight / Heterosexual,1,1,1.0,90000
445,446,2,2,2,1,4,10,15,1,1,No,Straight / Heterosexual,4,1,1.0,25594
447,448,2,2,1,1,3,1,1,2,1,No,Straight / Heterosexual,3,1,1.0,150000
449,450,2,1,2,6,5,1,4,3,1,No,Straight / Heterosexual,2,1,4.0,127972
458,459,2,2,2,2,3,3,16,2,1,No,Straight / Heterosexual,4,1,1.0,92436
466,467,2,2,2,1,3,8,12,2,1,No,Straight / Heterosexual,2,1,1.0,36259
468,469,2,2,1,5,2,8,1,2,1,No,Straight / Heterosexual,1,1,1.0,120000
469,470,2,2,1,1,3,4,14,5,1,No,Straight / Heterosexual,1,1,0.0,100511
470,471,2,2,2,2,2,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,140000
475,476,2,2,2,1,4,7,29,1,1,No,Straight / Heterosexual,14,1,3.0,106157
478,479,2,4,1,6,5,3,14,4,1,No,Straight / Heterosexual,4,1,4.0,75384
485,486,2,2,2,4,2,5,21,2,5,"Or, in your own words:",Straight / Heterosexual,4,1,1.0,24420
488,489,2,2,1,1,5,2,1,1,1,No,Straight / Heterosexual,1,1,3.0,160000
490,491,2,2,2,2,2,3,1,2,1,No,Straight / Heterosexual,1,1,1.0,110000
493,494,2,2,2,1,3,9,10,2,1,No,Straight / Heterosexual,2,1,0.0,62712
494,495,2,2,2,1,2,4,4,2,1,No,Straight / Heterosexual,4,1,1.0,63986
500,501,2,2,1,4,2,5,1,2,1,No,Straight / Heterosexual,1,1,3.0,53000
507,508,2,2,1,1,1,1,1,2,1,No,Gay or Lesbian,1,1,0.0,72000
509,510,2,2,1,1,2,4,3,2,1,No,Straight / Heterosexual,3,1,0.0,62467
510,511,2,2,2,1,2,2,1,2,1,No,Straight / Heterosexual,1,1,0.0,50000
512,513,2,2,1,2,3,7,12,2,1,No,Prefer not to say,5,3,1.0,106644
514,515,2,2,1,1,2,7,1,1,1,No,Straight / Heterosexual,1,1,1.0,238257
520,521,1,2,2,1,3,4,31,2,1,No,Straight / Heterosexual,4,1,0.0,38388
524,525,2,2,2,2,3,5,14,2,1,No,Straight / Heterosexual,1,1,0.0,60307
528,529,2,2,2,1,4,1,14,2,1,No,Straight / Heterosexual,1,1,1.0,50256
536,537,2,2,2,5,2,3,14,2,1,No,Bisexual,4,1,1.0,56538
538,539,2,2,1,2,3,1,20,1,1,No,Straight / Heterosexual,1,1,2.0,50123
544,545,2,2,2,5,2,1,32,2,1,No,Straight / Heterosexual,4,1,0.0,13128
546,547,2,2,1,1,2,5,33,2,1,No,Straight / Heterosexual,2,1,0.0,23436
553,554,2,2,1,1,1,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,70000
559,560,2,2,1,2,5,4,1,1,1,No,Straight / Heterosexual,1,1,2.0,86000
561,562,2,2,1,3,3,7,4,2,1,No,Straight / Heterosexual,2,1,1.0,47990
562,563,2,2,2,1,2,5,1,2,1,No,Straight / Heterosexual,1,1,0.0,78000
563,564,2,2,2,5,2,1,12,2,1,No,Straight / Heterosexual,4,1,1.0,72518
565,566,2,2,1,1,5,4,1,1,1,No,Straight / Heterosexual,3,1,4.0,187000
571,572,2,2,1,1,2,4,1,5,1,No,Straight / Heterosexual,1,1,0.0,78337
576,577,2,2,2,1,3,1,33,2,1,No,Straight / Heterosexual,4,1,1.0,23436
577,578,2,2,1,1,3,1,1,2,1,No,Straight / Heterosexual,1,1,2.0,215000
579,580,2,2,1,4,1,9,3,5,1,No,Straight / Heterosexual,4,1,0.0,50755
581,582,2,2,2,2,3,1,12,2,4,Yes,Bisexual,4,1,0.0,47990
583,584,2,2,1,1,4,4,14,1,1,No,Straight / Heterosexual,1,2,2.0,81666
584,585,2,2,1,2,3,4,4,2,1,No,Straight / Heterosexual,2,1,2.0,170630
585,586,2,2,2,1,2,5,1,2,1,No,Straight / Heterosexual,1,1,0.0,162373
586,587,2,2,1,2,5,7,12,1,1,No,Straight / Heterosexual,2,1,2.0,69318
587,588,2,2,1,7,2,5,3,5,1,No,Straight / Heterosexual,1,1,0.0,64029
589,590,2,2,1,1,2,1,1,2,4,Yes,Bisexual,8,1,0.0,55000
594,595,2,2,2,2,4,4,28,2,1,No,Straight / Heterosexual,2,1,1.0,86040
596,597,2,2,1,5,5,4,1,4,1,No,Straight / Heterosexual,1,1,4.0,200000
598,599,2,3,1,1,2,2,26,2,1,Yes,Straight / Heterosexual,15,1,1.0,18024
605,606,2,2,2,5,2,5,14,5,1,No,Straight / Heterosexual,1,1,1.0,71614
609,610,2,2,2,2,3,9,1,2,2,Yes,Queer,1,1,0.0,82000
611,612,2,2,2,1,5,1,1,3,1,No,Straight / Heterosexual,15,1,4.0,150000
612,613,2,2,2,1,3,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,180000
613,614,2,2,2,2,2,8,35,5,1,No,Bisexual,5,1,0.0,93078
616,617,2,3,2,2,5,8,21,1,1,No,Straight / Heterosexual,2,1,3.0,93540
617,618,2,2,2,2,5,4,1,4,1,No,Straight / Heterosexual,1,1,3.0,140000
618,619,2,2,1,1,5,4,1,1,1,No,Straight / Heterosexual,3,1,4.0,95000
619,620,2,2,1,2,2,1,31,2,1,No,Straight / Heterosexual,4,1,1.0,76788
621,622,2,2,1,1,3,7,1,2,1,No,Straight / Heterosexual,1,1,1.0,125000
633,634,2,2,2,2,5,5,33,1,1,No,Straight / Heterosexual,4,1,3.0,66948
634,635,2,2,1,2,3,4,6,1,1,No,Straight / Heterosexual,2,5,2.0,77700
636,637,2,1,2,1,3,1,4,1,1,No,Straight / Heterosexual,2,1,0.0,90647
637,638,2,2,1,1,5,9,14,1,1,No,Straight / Heterosexual,4,1,3.0,59679
640,641,2,2,1,6,4,7,4,1,2,Yes,Gay or Lesbian,4,1,1.0,95979
647,648,2,1,1,1,3,7,17,2,1,No,Straight / Heterosexual,2,1,1.0,36240
652,653,2,2,1,5,2,2,4,2,1,No,Straight / Heterosexual,2,1,1.0,238257
655,656,2,2,1,5,5,4,1,1,1,No,Straight / Heterosexual,2,1,2.0,135000
658,659,1,2,2,1,3,5,1,2,2,Yes,Gay or Lesbian;Queer,9,1,0.0,110000
660,661,2,2,1,1,3,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,75000
663,664,2,2,2,1,5,4,1,1,1,No,Straight / Heterosexual,1,1,4.0,120000
667,668,2,2,2,2,4,8,37,1,1,No,Straight / Heterosexual,4,1,3.0,55000
674,675,2,2,2,2,4,7,1,1,2,No,Straight / Heterosexual,15,1,1.0,175000
675,676,2,2,1,5,5,4,1,3,1,No,Straight / Heterosexual,1,1,4.0,172000
689,690,2,2,3,1,2,8,1,2,1,No,Straight / Heterosexual,9,1,2.0,62000
695,696,2,2,2,1,2,8,39,5,1,No,Straight / Heterosexual,16,1,0.0,17568
698,699,2,2,2,1,4,4,4,1,1,No,Straight / Heterosexual,2,1,2.0,69318
707,708,2,2,2,1,2,8,1,5,1,No,Straight / Heterosexual,1,1,0.0,75000
708,709,2,2,2,2,3,7,14,5,1,No,Bisexual,4,1,0.0,41461
709,710,2,2,1,1,2,8,1,2,1,No,Straight / Heterosexual,1,1,1.0,125000
721,722,1,2,1,2,5,7,1,4,1,No,Straight / Heterosexual,1,1,4.0,238257
723,724,2,2,1,1,3,2,4,2,1,No,Straight / Heterosexual,2,1,1.0,110568
724,725,2,2,1,5,4,1,1,1,1,No,Straight / Heterosexual,1,1,1.0,120000
729,730,1,2,1,7,5,1,40,1,1,No,Straight / Heterosexual,4,1,4.0,114708
740,741,2,2,2,1,3,5,1,5,1,No,Straight / Heterosexual,1,1,1.0,105000
746,747,2,1,1,2,2,8,17,2,1,No,Straight / Heterosexual,4,1,1.0,165000
749,750,2,2,2,7,5,1,15,1,1,No,Straight / Heterosexual,4,1,4.0,44790
753,754,2,2,3,5,5,9,11,3,1,No,Straight / Heterosexual,4,1,4.0,13212
756,757,2,2,1,6,3,1,15,2,6,Yes,Bisexual;Prefer to self-describe:,4,1,1.0,37325
759,760,2,2,2,1,1,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,120000
762,763,2,2,3,1,3,1,41,2,1,No,Straight / Heterosexual,5,3,1.0,18060
763,764,2,2,2,1,3,1,1,2,1,No,Straight / Heterosexual,11,1,1.0,120000
766,767,2,2,1,5,2,5,11,5,7,Yes,Queer,9,1,0.0,14208
767,768,2,2,2,1,2,7,14,5,1,No,Straight / Heterosexual,1,1,0.0,75384
769,770,2,1,2,5,4,1,24,2,1,No,Straight / Heterosexual,4,1,2.0,79983
775,776,2,2,1,5,2,4,1,1,1,No,Straight / Heterosexual,1,1,0.0,115000
777,778,2,2,3,1,3,10,9,2,1,No,Straight / Heterosexual,2,1,0.0,66371
780,781,2,2,1,2,3,4,1,1,1,No,Straight / Heterosexual,1,1,2.0,238257
781,782,2,2,1,1,3,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,160000
