,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
32436,32437,2,2,3,1,2,9,61,5,2,No,Straight / Heterosexual,15,1,0.0,6888
32437,32438,1,2,2,9,3,8,56,2,1,No,Straight / Heterosexual,13,1,1.0,8685
32438,32439,2,2,1,1,1,9,18,2,1,No,Straight / Heterosexual,13,1,0.0,16195
32440,32441,2,3,1,1,1,2,18,5,1,No,Straight / Heterosexual,13,1,0.0,38692
32444,32445,2,2,2,2,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,2579
32445,32446,2,2,1,1,1,2,18,2,1,No,Straight / Heterosexual,12,1,0.0,10963
32446,32447,2,2,2,1,3,4,18,1,1,No,Straight / Heterosexual,13,1,2.0,238257
32450,32451,2,2,2,2,2,5,26,2,1,No,Straight / Heterosexual,15,1,1.0,5
32453,32454,2,2,1,1,4,5,18,1,1,No,Straight / Heterosexual,13,1,3.0,41271
32454,32455,1,2,1,1,2,10,18,2,1,No,Straight / Heterosexual,13,1,0.0,4514
32460,32461,2,2,2,2,3,4,59,1,1,No,Straight / Heterosexual,4,1,2.0,43131
32461,32462,2,2,2,1,4,5,18,2,1,No,Straight / Heterosexual,13,1,2.0,30953
32467,32468,2,2,1,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,0.0,4956
32470,32471,2,7,2,1,2,8,66,2,1,No,Prefer not to say,15,3,1.0,5988
32477,32478,2,2,1,5,2,4,72,2,1,No,Straight / Heterosexual,18,1,1.0,3336
32479,32480,2,2,2,1,2,4,135,2,1,No,Straight / Heterosexual,17,1,1.0,11004
32483,32484,2,1,2,1,1,1,66,5,1,No,Prefer not to say,10,1,0.0,5400
32485,32486,2,9,2,5,2,9,72,5,1,No,Straight / Heterosexual,17,1,0.0,2328
32486,32487,2,2,1,2,2,8,4,2,1,No,Straight / Heterosexual,4,1,1.0,85315
32489,32490,2,4,1,1,3,4,61,2,1,No,Straight / Heterosexual,15,1,2.0,29856
32505,32506,1,2,3,6,5,4,39,3,1,No,Straight / Heterosexual,15,1,2.0,27048
32516,32517,2,2,2,1,3,6,77,3,1,Yes,Straight / Heterosexual,15,1,2.0,74362
32518,32519,2,2,2,1,1,1,36,2,1,No,Prefer not to say,15,3,0.0,4776
32524,32525,2,2,1,1,1,9,18,5,1,No,Straight / Heterosexual,13,1,0.0,5568
32532,32533,2,2,2,1,1,5,18,5,1,No,Straight / Heterosexual,13,1,0.0,5481
32535,32536,2,2,2,1,1,9,18,2,1,No,Straight / Heterosexual,15,1,0.0,1860
32542,32543,2,3,1,1,2,9,18,2,1,No,Straight / Heterosexual,13,1,1.0,64486
32546,32547,2,2,1,1,4,4,72,1,1,No,Straight / Heterosexual,17,1,2.0,21036
32554,32555,2,2,1,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,0.0,15477
32555,32556,2,2,1,1,2,4,18,5,1,No,Prefer not to say,13,1,0.0,23220
32556,32557,2,2,2,1,2,1,33,2,1,No,Straight / Heterosexual,2,1,1.0,36828
32561,32562,2,6,1,1,1,1,18,2,1,No,Straight / Heterosexual,13,1,0.0,185724
32565,32566,2,1,2,1,3,2,56,2,1,No,Straight / Heterosexual,1,1,2.0,78487
32566,32567,2,2,1,2,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,30953
32572,32573,2,2,2,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,0.0,1164
32577,32578,2,2,3,1,2,1,18,5,1,No,Straight / Heterosexual,12,1,0.0,1860
32580,32581,1,2,2,1,2,6,72,2,1,No,Straight / Heterosexual,15,1,0.0,1668
32581,32582,2,2,3,1,2,1,75,2,1,No,Straight / Heterosexual,10,1,0.0,28496
32589,32590,2,2,1,1,2,2,18,5,1,No,Straight / Heterosexual,13,1,0.0,15477
32592,32593,2,2,1,1,1,4,74,2,1,No,Straight / Heterosexual,17,1,0.0,3855
32598,32599,2,2,1,1,3,8,29,1,1,No,Straight / Heterosexual,11,1,2.0,92002
32606,32607,2,2,1,1,3,1,18,2,1,No,Bisexual,13,1,1.0,39981
32612,32613,2,2,2,1,1,2,66,2,1,No,Straight / Heterosexual,15,1,0.0,24
32616,32617,2,2,2,1,2,4,30,2,1,No,Straight / Heterosexual,15,1,1.0,24852
32621,32622,2,2,2,1,1,4,18,5,1,No,Straight / Heterosexual,13,1,0.0,19346
32622,32623,2,2,1,1,4,9,18,1,1,No,Straight / Heterosexual,13,1,2.0,64486
32623,32624,2,2,2,2,3,1,72,1,1,No,Straight / Heterosexual,15,1,3.0,28332
32639,32640,2,2,2,2,4,3,18,1,1,No,Prefer not to say,5,1,2.0,238257
32643,32644,2,2,3,1,2,9,18,2,1,No,Straight / Heterosexual,13,1,1.0,15168
32647,32648,2,2,2,2,2,1,18,2,1,No,Straight / Heterosexual,13,1,0.0,9288
32649,32650,2,2,3,7,1,9,66,5,1,No,Bisexual,15,1,0.0,3288
32654,32655,2,2,2,2,1,5,18,2,1,No,Straight / Heterosexual,13,1,0.0,238257
32655,32656,2,2,1,1,2,5,18,5,1,No,Straight / Heterosexual,13,8,0.0,69648
32656,32657,2,2,1,1,4,8,18,2,1,No,Straight / Heterosexual,13,1,2.0,30953
32657,32658,2,2,2,1,1,3,18,2,1,No,Straight / Heterosexual,13,1,0.0,19346
32663,32664,2,2,3,1,2,1,66,2,1,No,Straight / Heterosexual,15,1,0.0,5988
32668,32669,2,2,3,1,2,8,66,2,1,No,Straight / Heterosexual,15,1,0.0,5988
32682,32683,2,2,1,1,3,3,18,2,1,No,Straight / Heterosexual,5,1,1.0,83832
32684,32685,2,2,2,1,3,5,18,2,2,No,Straight / Heterosexual,13,1,1.0,28374
32688,32689,2,2,2,1,4,4,21,1,1,No,Straight / Heterosexual,2,1,2.0,66516
32689,32690,2,2,1,2,2,5,2,2,1,No,Straight / Heterosexual,2,1,0.0,35192
32694,32695,2,2,2,1,5,5,59,1,1,No,Straight / Heterosexual,4,1,3.0,82340
32699,32700,2,2,2,2,5,1,31,1,1,No,Straight / Heterosexual,4,1,3.0,76788
32702,32703,2,2,1,1,5,4,4,1,1,No,Straight / Heterosexual,4,1,3.0,87448
32707,32708,2,2,2,1,2,9,18,2,1,No,Straight / Heterosexual,13,1,0.0,4644
32710,32711,2,2,1,4,2,9,4,2,1,No,Straight / Heterosexual,2,1,1.0,238257
32717,32718,2,2,1,1,2,8,49,2,1,No,Straight / Heterosexual,6,1,2.0,18000
32723,32724,2,2,3,1,2,2,66,5,1,No,Straight / Heterosexual,15,1,0.0,4308
32727,32728,2,2,2,2,3,3,18,1,1,No,Straight / Heterosexual,13,1,2.0,32243
32735,32736,2,2,3,1,1,1,66,5,1,No,Straight / Heterosexual,17,1,0.0,3288
32743,32744,2,2,1,2,5,1,4,1,2,No,Straight / Heterosexual,2,1,4.0,83184
32749,32750,2,2,1,2,1,1,50,2,1,No,Straight / Heterosexual,6,1,0.0,7512
32752,32753,2,2,1,2,4,4,27,2,1,No,Straight / Heterosexual,5,1,2.0,63986
32755,32756,2,2,3,2,3,4,18,2,1,No,Bisexual,13,1,1.0,15477
32756,32757,2,2,1,6,1,1,46,2,1,No,Straight / Heterosexual,4,1,0.0,40696
32758,32759,2,2,1,5,2,4,46,5,1,No,Straight / Heterosexual,1,1,1.0,92472
32761,32762,2,2,1,2,2,4,16,2,1,No,Straight / Heterosexual,2,1,1.0,58512
32762,32763,2,2,1,1,2,4,33,2,1,No,Bisexual,2,1,1.0,76992
32763,32764,2,2,1,2,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,33533
32764,32765,2,2,2,2,3,5,12,2,1,No,Straight / Heterosexual,4,1,1.0,67186
32767,32768,1,2,2,1,2,8,18,5,1,No,Straight / Heterosexual,13,1,0.0,18056
32768,32769,2,2,2,2,4,9,4,1,1,No,Straight / Heterosexual,4,1,2.0,47988
32770,32771,1,2,2,2,2,8,4,2,1,No,Straight / Heterosexual,2,1,1.0,60787
32771,32772,2,2,2,1,1,10,18,5,1,No,Straight / Heterosexual,13,1,0.0,12384
32782,32783,2,2,2,1,3,8,18,2,1,No,Straight / Heterosexual,17,1,1.0,46430
32784,32785,2,1,1,1,5,9,2,2,1,No,Gay or Lesbian,4,1,3.0,44148
32787,32788,2,2,1,4,2,4,46,2,1,No,Straight / Heterosexual,4,1,1.0,59745
32788,32789,2,2,2,5,5,7,29,1,1,No,Straight / Heterosexual,4,1,1.0,91392
32789,32790,2,2,2,1,2,3,10,5,1,No,Straight / Heterosexual,4,1,0.0,42657
32796,32797,2,2,1,1,3,1,31,2,1,No,Bisexual,4,1,1.0,51192
32804,32805,2,2,1,5,2,4,6,5,1,No,Straight / Heterosexual,2,1,0.0,41628
32816,32817,2,2,1,1,2,3,50,2,1,No,Straight / Heterosexual,18,1,1.0,30060
32817,32818,2,2,1,1,1,1,18,5,1,No,Bisexual,13,1,0.0,2172
32825,32826,1,2,3,1,2,9,4,2,1,No,Straight / Heterosexual,2,1,1.0,45857
32826,32827,2,2,1,1,1,9,18,5,1,Prefer not to say,Prefer not to say,13,1,0.0,10318
32829,32830,2,5,1,2,3,7,46,1,1,No,Straight / Heterosexual,4,1,2.0,139644
32837,32838,2,2,2,4,2,8,4,2,1,No,Straight / Heterosexual,2,1,1.0,63984
32838,32839,1,2,3,2,2,7,31,1,1,No,Straight / Heterosexual,2,1,2.0,238257
32840,32841,2,2,2,6,2,8,12,1,1,No,Straight / Heterosexual,1,1,2.0,127972
32841,32842,2,2,3,1,1,1,36,5,1,No,Straight / Heterosexual,15,1,0.0,4092
32850,32851,2,3,2,2,5,1,18,3,1,No,Straight / Heterosexual,17,1,4.0,38692
32851,32852,2,1,2,2,5,9,12,1,1,No,Straight / Heterosexual,2,1,3.0,63986
32852,32853,2,2,1,1,2,1,4,1,1,No,Straight / Heterosexual,6,1,1.0,42228
32864,32865,1,1,2,1,3,8,6,2,1,No,Straight / Heterosexual,2,1,2.0,47172
32870,32871,2,2,1,2,5,5,18,1,1,No,Straight / Heterosexual,13,1,3.0,77383
32872,32873,2,2,2,1,3,2,1,2,1,No,Straight / Heterosexual,9,1,0.0,238257
32881,32882,2,2,2,2,2,4,4,5,1,No,Prefer not to say,4,1,0.0,53748
32883,32884,2,2,1,1,2,9,18,2,1,No,Straight / Heterosexual,13,1,0.0,13542
32894,32895,2,2,2,1,1,1,18,5,1,No,Straight / Heterosexual,12,1,0.0,108336
32895,32896,2,1,1,2,2,4,18,2,1,No,Straight / Heterosexual,13,1,1.0,23215
32905,32906,2,2,3,1,2,1,18,5,1,No,Straight / Heterosexual,15,1,0.0,7740
32911,32912,2,2,3,2,3,3,69,1,1,No,Straight / Heterosexual,15,1,1.0,16440
32915,32916,2,2,3,5,4,1,2,2,1,No,Straight / Heterosexual,4,1,1.0,26661
32916,32917,2,2,1,2,5,5,4,3,1,No,Straight / Heterosexual;Gay or Lesbian,2,1,3.0,238257
32921,32922,2,2,2,1,1,8,76,5,1,No,Straight / Heterosexual,2,1,0.0,29856
32924,32925,2,2,3,2,2,1,36,2,1,No,Prefer not to say,15,1,1.0,13644
32930,32931,2,3,2,1,3,2,4,1,1,No,Straight / Heterosexual,2,1,2.0,25594
32932,32933,2,2,3,1,1,4,18,5,1,No,Straight / Heterosexual,13,1,0.0,3869
32937,32938,2,1,2,1,2,1,81,2,1,No,Straight / Heterosexual,15,1,1.0,13668
32942,32943,2,2,1,5,1,4,18,2,1,No,Straight / Heterosexual,13,1,1.0,8352
32943,32944,2,2,1,1,5,4,29,4,1,No,Straight / Heterosexual,1,1,4.0,84925
32947,32948,2,2,3,3,2,9,12,2,1,No,Straight / Heterosexual,2,1,1.0,33273
32957,32958,2,2,2,2,3,8,31,2,1,No,Bisexual;Straight / Heterosexual,2,1,1.0,47664
32958,32959,2,2,3,4,1,1,7,2,1,No,Straight / Heterosexual,6,1,0.0,50220
32960,32961,1,2,3,1,1,1,53,1,1,No,Straight / Heterosexual,4,1,2.0,31992
32961,32962,2,2,1,1,3,1,1,2,1,No,Straight / Heterosexual,4,1,2.0,60000
32969,32970,2,2,2,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,8164
32970,32971,2,2,2,1,2,4,12,5,1,No,Straight / Heterosexual,2,1,0.0,28152
32972,32973,2,2,2,2,2,1,50,2,1,No,Straight / Heterosexual,6,1,1.0,30060
32974,32975,2,4,2,5,1,1,6,5,1,No,Straight / Heterosexual,1,1,0.0,13872
32980,32981,2,2,1,1,2,5,18,2,1,No,Straight / Heterosexual,15,1,0.0,154764
32982,32983,2,2,1,1,1,1,19,1,2,No,Straight / Heterosexual,2,1,0.0,15360
32985,32986,2,2,1,2,2,4,37,2,1,No,Straight / Heterosexual,2,1,0.0,40608
32988,32989,2,2,1,3,3,9,29,2,1,No,Straight / Heterosexual,1,1,1.0,55201
32989,32990,2,2,1,1,4,4,6,2,1,No,Straight / Heterosexual,2,1,1.0,55500
32990,32991,2,2,1,2,5,1,12,4,1,No,Straight / Heterosexual,2,1,4.0,90647
32993,32994,2,2,2,5,5,9,31,1,1,No,Straight / Heterosexual,4,1,2.0,76788
32995,32996,1,2,2,2,3,1,18,2,2,No,Straight / Heterosexual,13,1,1.0,18572
32996,32997,2,2,3,1,2,9,36,5,1,No,Straight / Heterosexual,15,1,0.0,2052
33008,33009,2,2,2,2,3,1,50,1,1,No,Straight / Heterosexual,1,1,1.0,30060
33014,33015,2,3,1,1,5,2,2,1,1,No,Straight / Heterosexual,2,1,2.0,47990
33019,33020,1,2,3,2,4,4,4,2,1,No,Straight / Heterosexual,4,1,2.0,77850
33025,33026,2,2,3,9,2,5,18,2,1,No,Straight / Heterosexual,15,1,1.0,238257
33032,33033,2,2,1,1,5,4,46,1,1,No,Straight / Heterosexual,4,1,4.0,25980
33037,33038,1,5,1,2,3,1,104,2,1,No,Straight / Heterosexual,1,1,2.0,138000
33042,33043,1,3,1,2,3,9,48,2,1,No,Bisexual,1,1,0.0,25596
33044,33045,2,2,2,1,2,2,17,5,1,No,Straight / Heterosexual,2,1,0.0,9060
33045,33046,2,2,2,5,3,8,19,2,1,No,Straight / Heterosexual,2,1,1.0,37325
33047,33048,2,6,2,5,3,1,6,2,4,Yes,Bisexual;Queer,4,1,0.0,19428
33050,33051,2,2,2,1,2,7,83,1,2,No,Straight / Heterosexual,2,1,1.0,53748
33054,33055,2,2,2,1,2,8,4,2,1,No,Straight / Heterosexual,2,1,1.0,79983
33057,33058,2,1,3,1,2,9,50,5,1,No,Straight / Heterosexual,18,1,0.0,5640
33059,33060,2,2,1,1,2,1,18,2,1,No,Straight / Heterosexual,13,1,0.0,5159
33060,33061,2,2,2,1,5,4,7,2,1,No,Straight / Heterosexual,1,1,2.0,143484
33066,33067,2,2,2,1,4,3,7,1,1,No,Straight / Heterosexual,1,1,2.0,165012
33068,33069,2,2,1,5,1,1,37,2,1,No,Straight / Heterosexual,2,1,2.0,12000
33074,33075,2,2,3,1,2,4,50,2,1,No,Straight / Heterosexual,6,3,0.0,12780
33078,33079,2,2,1,1,2,9,22,5,1,No,Straight / Heterosexual,7,1,0.0,7212
33079,33080,2,2,1,2,3,4,50,2,1,No,Prefer not to say,5,1,1.0,63984
33081,33082,1,2,2,1,5,2,29,3,1,No,Straight / Heterosexual,1,1,4.0,28308
33086,33087,2,2,2,1,3,1,17,2,1,No,Straight / Heterosexual,4,1,1.0,93180
33088,33089,2,2,1,1,1,4,51,2,1,No,Straight / Heterosexual,4,1,0.0,5328
33091,33092,2,5,2,1,3,8,47,2,1,No,Straight / Heterosexual,4,1,1.0,29460
33098,33099,2,2,1,1,1,5,17,2,1,No,Bisexual,2,1,0.0,41412
33104,33105,2,2,2,1,2,8,19,2,1,No,Straight / Heterosexual,2,1,0.0,24775
33105,33106,2,2,2,2,3,4,35,2,1,No,Straight / Heterosexual,4,1,2.0,103419
33115,33116,2,2,3,2,3,4,6,2,1,No,Straight / Heterosexual,4,1,0.0,18036
33116,33117,2,2,1,1,2,5,104,2,1,No,Straight / Heterosexual,1,1,0.0,33288
33121,33122,2,2,1,1,2,9,123,2,1,No,Straight / Heterosexual,7,1,1.0,22968
33122,33123,1,3,2,1,2,1,18,5,1,No,Straight / Heterosexual,13,1,1.0,3096
33126,33127,2,2,3,5,2,8,19,5,2,No,Straight / Heterosexual,2,1,0.0,21120
33127,33128,2,2,1,2,1,4,37,2,1,No,Straight / Heterosexual,2,1,0.0,17868
33128,33129,2,7,1,1,2,2,58,2,1,No,Straight / Heterosexual,2,1,1.0,92699
33132,33133,2,2,1,1,3,4,31,5,1,No,Straight / Heterosexual,4,1,1.0,76788
33136,33137,2,2,1,2,3,4,46,2,1,No,Straight / Heterosexual,2,1,2.0,52572
33137,33138,2,2,2,1,1,7,18,5,1,No,Straight / Heterosexual,13,5,0.0,9028
33140,33141,2,2,3,1,4,1,58,1,1,No,Straight / Heterosexual;Prefer to self-describe:,4,1,1.0,31404
33146,33147,2,2,2,1,2,1,66,5,1,No,Prefer not to say,17,1,0.0,7176
33171,33172,2,2,1,1,1,5,76,2,1,No,Straight / Heterosexual,4,1,0.0,30708
33172,33173,2,2,1,1,1,2,18,2,1,No,Straight / Heterosexual,13,8,0.0,10963
33174,33175,2,3,1,5,3,9,17,2,1,No,Straight / Heterosexual,4,1,1.0,117308
33178,33179,2,2,1,1,4,8,27,2,1,No,Prefer not to say,2,1,2.0,63986
33179,33180,2,2,2,2,2,8,53,2,1,No,Straight / Heterosexual,2,1,1.0,63984
33183,33184,2,1,3,1,2,8,18,2,1,No,Straight / Heterosexual,13,1,1.0,14832
33185,33186,2,2,2,1,2,9,31,2,1,No,Straight / Heterosexual,2,1,1.0,238257
33196,33197,2,4,2,1,1,9,4,2,2,No,Straight / Heterosexual,2,1,0.0,42657
33202,33203,2,2,1,8,4,7,17,2,1,No,Straight / Heterosexual,1,1,2.0,48624
33203,33204,2,2,3,2,5,2,58,3,1,No,Straight / Heterosexual,2,1,4.0,32712
33204,33205,2,2,2,1,5,8,2,3,1,No,Straight / Heterosexual,2,1,4.0,238257
33208,33209,1,2,3,1,1,4,59,1,1,No,Straight / Heterosexual,15,1,1.0,61167
33214,33215,1,2,2,2,3,7,19,3,1,No,Straight / Heterosexual,1,1,3.0,25596
33221,33222,2,5,3,1,3,1,43,2,1,No,Straight / Heterosexual,1,1,2.0,51192
33224,33225,2,2,1,3,4,1,53,1,1,No,Prefer not to say,2,1,1.0,44796
33227,33228,2,2,2,1,2,8,19,2,1,No,Straight / Heterosexual,11,1,0.0,23040
33228,33229,2,2,2,2,2,1,16,2,1,No,Straight / Heterosexual,11,1,0.0,58512
33230,33231,1,2,2,1,3,1,37,2,1,No,Straight / Heterosexual,2,1,1.0,2193
33234,33235,2,5,1,1,5,8,31,2,1,No,Prefer not to say,2,1,2.0,66119
33236,33237,2,2,1,1,2,5,18,5,1,No,Straight / Heterosexual,13,1,0.0,34178
33238,33239,2,2,2,1,1,2,82,2,1,No,Bisexual,7,1,1.0,2772
33251,33252,2,2,2,1,2,7,18,2,1,No,Straight / Heterosexual,15,1,0.0,238257
33256,33257,2,2,2,2,2,7,10,2,1,No,Straight / Heterosexual,4,1,1.0,53748
33257,33258,1,2,3,1,1,4,61,1,2,No,Prefer not to say,10,3,1.0,5736
33260,33261,2,2,2,1,3,2,83,2,1,No,Straight / Heterosexual,2,1,1.0,53322
33264,33265,2,2,3,1,3,9,29,2,1,No,Straight / Heterosexual,2,1,1.0,72187
33265,33266,2,2,2,2,2,9,31,2,2,No,Gay or Lesbian;Queer,1,1,0.0,55032
33269,33270,2,1,1,1,4,1,58,3,1,No,Straight / Heterosexual,2,1,3.0,35988
33270,33271,2,2,1,1,2,7,50,2,1,No,Straight / Heterosexual,6,1,0.0,57600
33273,33274,2,2,2,2,1,1,82,2,1,Prefer not to say,Prefer not to say,7,1,0.0,468
33280,33281,2,1,2,1,2,8,14,5,1,No,Straight / Heterosexual,2,1,0.0,54025
33281,33282,2,2,1,1,2,4,18,5,1,No,Prefer not to say,13,1,0.0,61908
33284,33285,2,2,2,2,2,4,12,2,1,No,Straight / Heterosexual,7,1,0.0,44257
33285,33286,2,2,2,2,2,4,18,2,1,No,Straight / Heterosexual,13,1,1.0,7740
33287,33288,2,2,1,1,2,4,18,2,1,No,Straight / Heterosexual,13,1,1.0,32243
33288,33289,2,2,1,1,3,4,17,2,1,No,Straight / Heterosexual,2,1,1.0,44256
33290,33291,2,2,2,3,4,4,24,1,1,No,Straight / Heterosexual,2,1,2.0,57588
33291,33292,2,2,1,1,2,8,17,2,1,No,Straight / Heterosexual,2,1,1.0,56940
33292,33293,2,2,2,4,2,7,31,2,4,No,Straight / Heterosexual,2,1,1.0,70545
33294,33295,2,2,1,1,2,4,18,2,1,No,Straight / Heterosexual,17,1,0.0,36112
33295,33296,2,2,3,2,5,3,29,1,1,No,Prefer not to say,4,1,4.0,70771
33297,33298,2,2,1,4,2,1,4,2,1,No,Straight / Heterosexual,4,1,1.0,49056
33306,33307,2,2,2,2,1,4,46,2,1,No,Straight / Heterosexual,2,1,0.0,39480
33307,33308,2,2,1,2,3,4,15,2,1,No,Straight / Heterosexual,4,1,1.0,36576
33309,33310,2,2,2,1,2,10,18,2,1,No,Straight / Heterosexual,13,1,1.0,41271
33310,33311,2,2,2,1,3,1,42,2,1,No,Straight / Heterosexual,4,1,1.0,23424
33313,33314,2,2,1,6,3,5,14,1,1,No,Straight / Heterosexual,1,1,1.0,238257
33314,33315,2,2,1,1,3,9,4,2,1,No,Straight / Heterosexual,14,1,3.0,85315
33317,33318,1,2,1,4,4,4,83,2,1,No,Straight / Heterosexual,1,1,1.0,191959
33320,33321,1,2,2,1,2,1,76,1,1,No,Straight / Heterosexual,2,1,2.0,28152
33321,33322,2,2,1,1,3,1,50,2,1,No,Straight / Heterosexual,15,1,1.0,11280
33322,33323,2,2,3,1,2,2,18,5,1,No,Straight / Heterosexual,13,1,0.0,7093
33326,33327,2,2,1,4,1,4,6,5,1,No,Straight / Heterosexual,1,1,0.0,50875
33330,33331,2,2,3,1,2,1,66,5,1,No,Straight / Heterosexual,15,1,0.0,5988
33333,33334,2,2,2,1,3,9,50,1,1,No,Straight / Heterosexual,2,1,3.0,37584
33343,33344,2,7,2,1,2,9,62,5,1,No,Straight / Heterosexual,16,1,0.0,6228
33344,33345,2,2,2,4,2,4,53,2,1,No,Straight / Heterosexual,2,1,1.0,48630
33345,33346,2,2,1,2,3,3,18,2,1,No,Straight / Heterosexual,13,1,1.0,84477
33350,33351,2,2,3,1,2,9,24,1,1,No,Straight / Heterosexual,15,1,2.0,47990
33351,33352,2,1,1,5,3,9,58,2,1,No,Straight / Heterosexual,2,1,1.0,42528
33356,33357,2,2,2,7,2,1,28,2,2,No,Straight / Heterosexual,2,1,1.0,89472
33357,33358,2,2,1,1,2,8,51,5,1,No,Straight / Heterosexual,2,1,0.0,12000
33363,33364,2,2,1,1,3,5,53,2,1,No,Straight / Heterosexual,4,1,0.0,38388
33364,33365,2,2,2,5,4,3,16,1,3,Prefer not to say,Prefer not to say,5,1,3.0,52416
33368,33369,2,2,1,5,1,1,49,5,2,No,Straight / Heterosexual,15,1,0.0,5100
33369,33370,2,2,3,5,5,1,15,3,1,No,Prefer not to say,2,1,4.0,45857
33372,33373,2,3,1,5,2,1,6,1,1,No,Straight / Heterosexual,1,1,2.0,69372
33378,33379,2,2,1,9,1,1,19,5,1,No,Straight / Heterosexual,2,1,0.0,10872
33380,33381,2,2,2,6,5,4,16,2,1,No,Gay or Lesbian,1,1,1.0,42660
33381,33382,2,3,1,1,3,4,17,2,1,No,Straight / Heterosexual,2,1,1.0,86300
33384,33385,2,2,2,7,2,1,50,2,1,No,Straight / Heterosexual,5,1,0.0,19730
33386,33387,2,2,2,1,2,4,134,2,1,No,Straight / Heterosexual,6,1,0.0,31092
33390,33391,2,2,1,5,2,5,19,1,1,No,Straight / Heterosexual,4,1,3.0,63986
33391,33392,2,2,1,2,1,10,74,2,2,No,Straight / Heterosexual,16,1,1.0,36660
33392,33393,2,2,1,1,1,9,50,5,1,No,Bisexual;Straight / Heterosexual,5,1,0.0,4512
33394,33395,2,2,2,2,2,1,19,2,1,No,Straight / Heterosexual,2,1,0.0,25596
33396,33397,2,2,2,1,2,5,18,2,2,No,Bisexual,13,1,1.0,28374
33400,33401,2,3,1,6,2,1,15,1,1,No,Straight / Heterosexual,4,1,0.0,46923
33402,33403,2,2,1,7,3,4,50,2,1,No,Straight / Heterosexual,1,1,1.0,11280
33405,33406,2,2,1,2,2,7,23,2,1,No,Straight / Heterosexual,2,1,1.0,90864
33406,33407,1,2,2,5,2,4,22,2,1,No,Straight / Heterosexual,7,1,2.0,10296
33409,33410,2,2,2,1,2,4,46,2,1,No,Straight / Heterosexual,2,1,1.0,72732
33417,33418,1,4,2,2,1,2,127,2,1,No,Straight / Heterosexual,6,1,1.0,7200
33420,33421,2,2,2,1,5,9,10,1,1,No,Straight / Heterosexual,2,1,2.0,44790
33423,33424,2,2,2,1,2,8,28,5,1,No,Straight / Heterosexual,2,1,0.0,72264
33426,33427,2,2,1,1,3,3,14,1,1,No,Straight / Heterosexual,1,1,1.0,143229
33436,33437,2,2,1,3,1,9,15,5,1,No,Straight / Heterosexual,8,1,0.0,22395
33443,33444,2,3,1,1,5,2,42,3,1,No,Straight / Heterosexual,4,1,3.0,48000
33446,33447,2,2,3,1,1,9,18,5,2,No,Straight / Heterosexual,18,1,0.0,3564
33449,33450,2,2,1,2,2,5,15,2,1,No,Straight / Heterosexual,2,1,1.0,63986
33454,33455,2,2,3,1,2,5,81,2,1,No,Straight / Heterosexual,16,1,0.0,15952
33457,33458,2,2,2,4,2,9,35,5,1,No,Straight / Heterosexual,4,1,1.0,93078
33459,33460,2,2,1,1,2,4,14,2,1,No,Straight / Heterosexual,1,1,1.0,113075
33465,33466,2,2,1,7,2,4,4,2,1,No,Straight / Heterosexual,2,1,0.0,47990
33470,33471,2,2,1,2,4,5,6,2,1,No,Straight / Heterosexual,2,1,1.0,36072
33481,33482,1,2,2,1,5,4,107,1,1,No,Straight / Heterosexual,2,1,3.0,106644
33494,33495,2,2,2,5,3,8,15,2,1,No,Prefer not to say,2,1,1.0,54388
33501,33502,1,2,2,2,2,8,42,2,1,No,Prefer not to say,18,1,0.0,15997
33504,33505,2,4,2,2,1,1,12,2,1,No,Prefer to self-describe:,4,1,1.0,66652
33509,33510,2,2,2,1,3,9,42,2,1,No,Straight / Heterosexual,4,1,1.0,50000
33511,33512,2,2,2,2,2,1,10,1,1,No,Straight / Heterosexual,2,1,1.0,42228
33512,33513,2,1,3,1,1,1,66,5,1,No,Straight / Heterosexual,15,1,0.0,2688
33514,33515,2,2,3,1,1,3,46,2,1,No,Straight / Heterosexual,2,1,0.0,24312
33519,33520,2,2,2,2,2,4,2,2,1,No,Straight / Heterosexual,2,1,1.0,43724
33520,33521,2,2,1,1,1,4,18,5,1,No,Straight / Heterosexual,17,1,0.0,10318
33527,33528,2,2,2,2,2,10,12,2,1,No,Straight / Heterosexual,4,1,1.0,43191
33529,33530,2,5,1,1,2,9,19,2,1,No,Straight / Heterosexual,4,1,1.0,67188
33530,33531,2,2,2,2,2,5,12,2,1,No,Straight / Heterosexual,7,1,1.0,69318
33539,33540,2,2,2,1,3,9,4,2,1,No,Straight / Heterosexual,2,1,1.0,63984
33540,33541,2,2,2,5,4,1,2,2,1,No,Straight / Heterosexual,2,1,2.0,47990
33542,33543,2,2,3,2,3,2,4,2,1,No,Straight / Heterosexual,2,1,0.0,47990
33550,33551,1,1,2,1,2,2,4,5,1,No,Straight / Heterosexual,2,1,0.0,62064
33561,33562,2,3,2,2,4,4,45,1,1,No,Straight / Heterosexual,2,1,2.0,238257
